ScripCode,ScripId,BSE Exclusive,Status,GroupName,GSM,Unsolicited_SMS,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Pledge
590134,MADRASFERT,N,A,B,100,100,100,100,100,100,100,100
590132,JAYMAHESH,Y,S,XT,100,100,100,100,100,100,100,100
590128,SHREETULSI,Y,S,X,100,100,100,100,100,100,100,100
590126,GRADIENTE,Y,S,XT,100,100,100,100,100,100,100,100
590124,RUNEECHA,Y,S,XT,100,100,100,100,100,100,100,100
590122,ASHIKACR,Y,A,X,100,100,100,100,100,100,100,100
590111,VAISHNAVI,Y,S,XT,100,100,100,100,100,100,100,100
590086,ORISSAMINE,N,A,B,100,100,100,100,100,100,100,100
590082,LOHIASEC,Y,A,XT,100,100,100,100,100,100,100,100
590078,MAITHANALL,N,A,B,100,100,100,100,100,100,100,100
590075,LAMBODHARA,N,A,B,100,100,100,100,100,100,100,100
590073,WHEELS,N,A,B,100,100,100,100,100,100,100,100
590072,SUNDRMBRAK,N,A,B,100,100,100,100,100,100,100,100
590071,SUNDARMFIN,N,A,B,100,100,100,100,100,100,100,100
590070,RADAAN,N,A,B,0,100,100,100,100,100,100,100
590068,KHAITANLTD,N,A,T,100,100,100,100,100,100,100,100
590066,KCP,N,A,B,100,100,100,100,100,100,100,100
590065,IMPAL,N,A,B,100,100,100,100,100,100,100,100
590063,DUNCANSLTD,N,S,Z,100,100,100,100,100,100,100,100
590062,ANDHRSUGAR,N,A,B,100,100,100,100,100,100,100,100
590057,PROSEED,N,A,T,100,100,100,0,100,100,100,100
590056,SALONACOT,N,A,B,100,100,100,100,100,100,100,100
590051,SAKSOFT,N,A,B,100,100,100,100,100,100,100,100
590043,HARITASEAT,N,S,B,100,100,100,100,100,100,100,100
590041,KAVVERITEL,N,A,T,100,100,100,100,100,100,100,100
590038,VISUINTL,N,S,Z,6,100,100,100,100,100,100,100
590031,DENORA,N,A,B,100,100,100,100,100,100,100,100
590030,SPIC,N,A,B,100,100,100,100,100,100,100,100
590028,NICCO,Y,S,XT,6,100,100,100,100,100,100,100
590025,GINNIFILA,N,A,B,100,100,100,100,100,100,100,100
590024,FACT,N,A,B,100,100,100,100,100,100,100,100
590022,EASTSILK,N,A,B,100,100,100,100,1,100,100,100
590021,BHARATRAS,N,A,B,100,100,100,100,100,100,100,100
590018,HISARMET,N,A,B,100,100,100,100,100,100,100,100
590013,XPROINDIA,N,A,B,100,100,2,100,100,100,100,100
590006,AMRUTANJAN,N,A,B,100,100,100,100,100,100,100,100
590005,TIDEWATER,N,A,B,100,100,2,100,100,100,100,100
590003,KARURVYSYA,N,A,B,100,100,100,100,100,100,100,100
570005,SCAPDVR,N,A,T,100,100,100,100,100,100,100,100
570004,JISLDVREQS,N,A,T,100,100,100,100,100,100,100,100
570003,GUJNREDVR,Y,S,X,100,100,100,0,100,100,100,100
570002,FELDVR,N,A,B,100,100,100,100,100,100,100,100
570001,TATAMTRDVR,N,A,A,100,100,100,100,100,100,100,100
543378,CWD,Y,A,MS,100,100,100,100,100,100,100,100
543377,ADISHAKTI,Y,A,M,100,100,100,100,100,100,100,100
543376,SAMOR,Y,A,M,100,100,100,100,100,100,100,100
543375,PROMAX,Y,A,M,100,100,100,100,100,100,100,100
543374,ABSLAMC,N,A,B,100,100,100,100,100,100,100,100
543373,SVRL,Y,A,M,100,100,100,100,100,100,100,100
543372,GETALONG,Y,A,M,100,100,100,100,100,100,100,100
543367,PARAS,N,A,B,100,100,100,100,100,100,100,100
543366,SBLI,Y,A,M,100,100,100,100,100,100,100,100
543364,MTCL,Y,A,M,100,100,100,100,100,100,100,100
543363,PREVEST,Y,A,M,100,100,100,100,100,100,100,100
543358,SANSERA,N,A,B,100,100,100,100,100,100,100,100
543352,POBS,Y,A,M,100,100,100,100,100,100,100,100
543351,NBL,Y,A,MS,100,100,100,100,100,100,100,100
543350,VIJAYA,N,A,B,100,100,100,100,100,100,100,100
543349,AMIORG,N,A,B,100,100,100,100,100,100,100,100
543346,AASHKA,Y,A,M,100,100,100,100,100,100,100,100
543341,SHARPLINE,Y,A,XT,100,100,100,100,100,100,100,100
543336,CHEMPLASTS,N,A,B,100,100,100,100,100,100,100,100
543335,APTUS,N,A,B,100,100,100,100,100,100,100,100
543334,NUVOCO,N,A,B,100,100,100,100,100,100,100,100
543333,CARTRADE,N,A,B,100,100,100,100,100,100,100,100
